Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,,,,,,
Canada,205.1,163.0,230.2,309.6,308.7,427.9,469.5,527.6,607.0,530.9,546.4,645.6,697.4,787.0,846.9,907.7,972.8,"1,042.9","1,146.4","1,047.4","1,179.7","1,147.8","1,154.0","1,231.6","1,355.5","1,372.4","1,439.6","1,506.1","1,550.7","1,493.3","1,477.9","1,684.1","1,756.9","2,058.7","2,276.2","2,301.2","2,742.2","2,892.9","3,177.8","3,279.3","3,037.7",,,,,,
Mexico,920.8,"1,225.4","1,666.8","1,717.6","1,709.6","1,602.7","1,439.2","1,505.4","1,463.1","1,427.1","1,406.0","1,511.3","1,511.3","1,481.3","1,435.4","1,429.2","1,619.2","1,814.8","1,835.2","1,677.2","1,849.8","1,882.5","1,955.8","2,114.4","2,123.8","2,021.6","2,001.7","1,808.3","1,509.4","1,311.8","1,460.3","1,419.5","1,333.1","1,270.7","1,219.8","1,247.1","1,273.8","1,264.1","1,283.3","1,199.9","1,198.5",,,,,,
United States,287.0,228.0,236.0,164.0,181.0,204.0,154.0,151.0,155.0,142.0,109.0,116.0,89.0,98.0,99.0,95.0,110.0,108.0,110.0,118.0,50.0,20.0,9.0,12.0,27.0,32.0,25.0,27.0,29.0,44.0,42.0,47.0,67.0,134.0,351.0,465.0,591.0,"1,158.0","2,048.0","2,982.0","3,175.0",,,,,,
Norway,401.8,370.1,375.2,484.3,579.7,624.9,697.3,822.4,943.7,"1,286.0","1,344.8","1,631.8","1,846.8","1,993.0","2,259.8","2,482.7","2,803.3","2,833.4","2,713.9","2,696.0","2,902.9","2,978.8","2,821.7","2,731.0","2,681.9","2,338.6","2,175.6","1,980.7","1,674.2","1,771.7","1,601.6","1,423.0","1,302.9","1,198.5","1,202.8","1,234.9","1,372.2","1,361.2","1,254.5","1,233.5","1,501.8",,,,,,
United Kingdom,785.4,"1,037.3","1,215.4","1,360.9","1,560.2","1,601.9","1,682.9","1,616.2","1,412.7",992.0,"1,090.8","1,059.0","1,100.0","1,230.5","1,580.6","1,614.3","1,553.5","1,516.7","1,608.3","1,717.4","1,747.3","1,633.7","1,639.5","1,389.7","1,226.1",987.0,907.1,911.2,821.1,775.3,740.0,562.9,576.5,613.3,569.5,595.1,620.2,692.7,818.0,834.4,724.3,,,,,,
Australia,0.0,0.0,0.0,0.0,16.3,88.9,81.6,88.3,102.8,75.2,107.3,145.6,140.7,157.7,143.5,176.4,162.7,177.8,216.7,205.3,306.8,392.1,386.2,314.1,261.9,230.0,200.4,236.2,249.1,252.5,314.1,272.0,260.9,205.6,244.3,221.8,199.5,179.8,214.6,248.8,253.2,,,,,,
China,266.9,275.8,304.9,304.7,450.1,606.4,570.0,581.0,549.9,515.0,499.6,453.0,430.2,389.7,370.8,345.9,406.6,397.7,312.9,143.7,206.1,151.0,153.3,162.7,109.5,161.3,127.3,77.7,84.8,103.7,60.6,50.5,48.9,32.0,12.2,57.3,58.6,97.1,52.4,16.1,32.7,,,,,,
India,0.0,16.8,91.3,110.7,129.6,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
Brunei,219.3,159.3,160.9,163.7,153.2,164.1,170.0,147.8,141.3,129.5,142.8,162.5,170.5,168.7,172.9,173.8,160.6,160.9,166.2,190.6,189.4,185.0,178.8,183.2,192.6,197.8,207.5,170.5,163.6,152.1,161.9,154.3,139.0,114.6,108.0,112.1,104.7,98.0,91.9,106.9,82.3,,,,,,
Indonesia,"1,211.4","1,256.7","1,108.0","1,180.6","1,087.5",866.3,896.5,799.7,755.9,798.5,789.9,899.8,805.7,837.9,887.6,835.8,803.2,806.3,787.0,821.4,627.1,682.0,614.9,518.1,490.1,365.6,321.5,319.7,294.8,401.3,356.1,256.9,228.9,228.6,255.9,315.1,334.5,284.8,205.7,70.9,92.9,,,,,,
Malaysia,240.0,214.3,253.0,300.5,356.8,362.3,382.2,380.9,415.4,446.4,441.9,473.0,459.4,434.7,421.2,401.2,360.2,356.2,403.8,397.6,400.0,390.4,392.1,426.1,420.2,403.9,382.8,383.8,355.9,372.5,370.0,280.0,267.8,209.0,229.0,338.1,342.8,344.8,357.5,287.0,280.0,,,,,,
Vietnam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,13.6,26.8,49.0,78.3,105.5,119.4,137.0,173.0,168.4,188.9,240.6,291.9,315.0,356.8,322.1,342.0,399.2,360.8,345.4,300.6,275.0,267.5,161.4,164.5,185.0,170.3,173.4,143.6,146.3,129.5,88.5,85.4,113.5,,,,,,
Others,6.8,1.0,191.1,234.5,161.5,17.0,12.2,21.5,49.2,25.5,62.5,27.4,97.6,147.5,186.7,124.3,147.1,174.0,158.1,178.0,160.8,109.2,123.3,125.6,115.6,125.9,109.7,95.1,80.7,118.0,93.4,72.6,72.6,86.2,93.8,70.1,92.3,94.8,95.1,93.6,85.3,,,,,,
Brazil,1.2,14.9,22.3,1.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,13.4,2.1,2.6,0.0,0.6,19.5,112.7,233.0,243.0,230.0,274.0,366.0,421.0,431.0,525.0,581.0,599.0,487.7,365.6,517.3,736.0,891.3,"1,127.4","1,147.0","1,301.3","1,401.0",,,,,,
Colombia,0.0,0.0,0.0,0.0,0.0,0.0,102.6,145.6,144.4,164.2,208.0,170.0,177.3,199.5,188.5,331.4,324.3,344.7,431.4,515.7,384.1,296.0,278.9,229.9,213.4,236.8,226.8,233.6,266.9,371.0,483.8,558.3,555.0,703.3,722.0,667.0,613.5,641.5,590.3,611.6,541.0,,,,,,
Ecuador,112.9,129.4,120.0,168.9,172.0,193.4,195.6,123.5,188.5,174.6,172.1,178.8,191.1,218.4,237.8,250.4,240.5,261.3,247.3,235.9,240.9,250.9,231.0,209.0,287.0,361.0,373.0,341.7,347.5,329.0,339.7,334.0,357.7,388.2,422.4,432.9,400.2,379.8,367.2,397.8,361.8,,,,,,
Trinidad & Tobago,126.9,117.1,95.3,85.6,92.7,97.8,93.3,77.7,74.3,73.2,76.2,71.9,76.4,63.2,64.2,59.0,67.4,61.1,69.3,68.4,52.5,50.2,68.5,86.6,81.0,75.0,74.6,61.2,55.6,93.6,75.3,39.5,30.8,38.2,34.2,29.1,28.3,31.3,30.2,54.2,55.6,,,,,,
Venezuela,"1,287.2","1,266.0","1,057.9",976.7,998.9,825.9,948.7,"1,026.9",972.7,986.3,"1,242.0","1,381.3","1,429.0","1,540.3","1,696.4","1,819.9","1,976.4","2,210.8","2,243.9","1,923.0","2,003.5","1,964.7","1,572.0","1,535.0","1,561.9","2,197.8","1,735.1","2,115.6","1,764.8","1,608.4","1,562.0","1,553.4","1,724.8","1,528.0","1,964.9","1,974.2","1,835.0","1,596.4","1,273.1",846.6,486.8,,,,,,
Others,70.5,68.6,80.1,45.4,51.3,62.5,50.1,43.0,47.5,44.8,54.0,48.9,81.6,119.0,238.8,338.4,411.6,411.9,419.2,352.1,409.2,484.7,322.0,272.5,290.1,286.9,197.4,118.7,185.4,242.2,122.0,96.4,89.4,42.3,72.5,55.1,62.3,45.2,61.0,80.5,159.8,,,,,,
Middle East,"16,375.8","13,697.7","10,409.3","8,724.0","8,077.8","7,091.3","8,883.0","8,554.1","9,890.8","11,368.3","12,043.8","12,516.0","13,337.9","13,901.4","13,820.9","13,822.1","13,794.8","14,467.2","15,575.7","15,064.2","16,027.1","15,092.6","13,738.0","14,533.1","16,314.7","16,860.7","16,911.5","16,669.6","17,386.0","15,308.2","15,987.5","17,772.3","18,076.8","17,497.2","16,792.8","17,037.3","19,321.1","18,756.8","18,916.8","17,630.1","16,303.0",,,,,,
Algeria,715.5,521.8,228.9,260.4,181.6,272.0,255.0,240.0,244.0,280.5,280.6,344.7,279.4,308.0,329.2,332.8,390.8,373.1,549.4,414.6,462.2,441.5,566.2,741.0,893.2,967.6,947.2,"1,253.5",840.9,747.5,708.8,842.9,808.6,744.0,622.9,642.2,668.7,632.5,571.0,584.2,438.7,,,,,,
Angola,332.8,328.3,345.3,359.9,366.4,363.4,352.3,342.4,353.9,365.6,439.0,459.9,508.4,464.7,500.6,566.7,621.8,660.7,725.4,732.2,748.6,693.9,849.3,823.0,940.9,946.9,"1,010.3","1,157.6","1,044.5","1,770.4","1,710.7","1,545.6","1,663.3","1,669.4","1,607.9","1,710.9","1,670.1","1,576.7","1,420.6","1,318.7","1,219.7",,,,,,
Congo,65.1,79.8,84.9,93.3,109.2,110.4,108.9,105.4,135.0,153.9,152.7,144.9,159.0,162.9,164.4,175.7,189.1,241.0,259.1,270.0,272.2,245.0,240.3,235.8,224.3,235.3,266.0,213.4,229.2,260.0,287.6,264.3,252.0,240.7,260.9,227.0,254.3,261.2,307.1,309.4,282.2,,,,,,
Egypt,335.7,362.7,362.1,370.9,397.0,442.1,380.4,450.1,425.1,433.0,422.0,412.4,419.7,402.7,420.6,397.2,355.2,313.4,278.4,284.2,220.0,138.1,140.2,99.9,37.6,57.5,52.3,43.4,89.5,86.2,85.0,83.1,91.0,96.5,117.1,155.8,164.6,139.3,114.9,90.3,102.8,,,,,,
Equatorial Guinea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.7,13.8,41.3,69.2,79.0,91.5,119.9,164.2,173.4,238.3,275.1,249.0,242.4,253.7,231.0,206.4,191.1,221.5,206.7,196.7,182.4,157.6,124.8,121.0,110.2,114.5,,,,,,
Gabon,150.2,124.1,129.5,135.5,139.5,163.8,150.1,145.1,148.1,192.5,255.0,278.5,271.3,297.4,309.0,350.3,348.9,352.0,335.8,314.2,300.0,256.8,234.7,226.4,220.9,248.8,221.3,227.4,219.2,227.0,225.3,235.3,224.0,207.5,207.4,206.4,205.2,188.4,174.1,206.9,196.1,,,,,,
Libya,"1,693.0","1,062.5",974.0,937.4,929.6,894.6,"1,067.0",810.0,890.0,872.0,"1,090.0","1,220.0","1,180.0","1,110.0","1,125.0","1,120.3","1,123.4","1,115.7","1,161.0",991.7,"1,005.0",987.6,983.6,"1,127.0","1,284.5","1,306.0","1,347.4","1,377.8","1,399.5","1,265.2","1,299.3",299.5,"1,239.5",836.1,329.4,288.4,350.1,792.1,998.5,"1,035.7",347.2,,,,,,
Nigeria,"1,960.2","1,228.4","1,002.8",935.2,"1,094.1","1,333.3","1,221.2","1,065.2","1,110.5","1,525.9","1,550.0","1,610.0","1,585.0","1,557.0","1,590.0","1,665.0","1,812.9","1,855.5","1,832.8","1,705.1","1,986.4","2,009.4","1,798.2","2,163.5","2,356.0","2,325.9","2,248.4","2,217.1","2,092.3","2,160.2","2,464.1","2,377.0","2,368.0","2,193.0","2,120.1","2,114.0","1,738.0","1,811.1","1,979.5","2,008.2","1,879.3",,,,,,
Sudans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.3,142.0,142.0,178.9,197.0,262.4,228.0,252.5,374.2,367.8,370.7,389.1,362.9,60.0,133.0,168.0,166.0,119.6,98.5,114.8,138.2,135.4,,,,,,
Russia,"4,530.9","4,468.9","4,517.2","4,751.8","4,857.8","4,357.1","4,804.0","5,086.5","5,347.9","4,740.7","4,448.2","3,497.6","2,856.8","2,510.8","2,490.0","2,503.9","2,519.2","2,491.5","2,696.5","2,648.4","3,150.0","3,300.0","3,953.4","4,520.4","5,211.1","5,222.3","5,106.3","5,171.6","5,120.0","4,967.6","4,977.8","4,786.3","4,757.1","4,689.0","4,488.4","4,899.3","5,079.3","5,057.5","5,206.8","5,253.0","4,653.5",,,,,,
Azerbaijan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,42.2,83.9,108.0,150.0,179.0,182.0,182.0,278.0,500.0,687.0,743.0,892.0,855.0,753.0,698.4,692.1,669.4,663.1,655.1,615.3,608.6,559.3,500.3,,,,,,
Kazakhstan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405.9,418.0,388.0,312.5,177.4,210.3,229.5,324.2,359.8,463.2,521.0,586.5,681.0,697.0,693.0,827.0,982.7,"1,003.9","1,062.9","1,168.5","1,240.2","1,233.3","1,215.2","1,276.9","1,250.9","1,229.3","1,229.5","1,370.7","1,401.2","1,410.9","1,416.7",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
